"name","essround","edition","proddate","idno","cntry","dweight","pspwght","pweight","anweight","pplhlp","trstlgl","trstplt","vote","stflife","stfeco","stfgov","stfedu","stfhlth","imsmetn","happy","health","hlthhmp","rlgblg","hhmmb","gndr","agea","rshpsts","domicil","edulvlb","eduyrs","pdwrk","emplrel","wrkctra","jbspv","wkhtot","uemp12m","hinctnta","hincfel","prob","stratum","psu"
"ESS11e02",11,"2.0","20.11.2024",50014,"FR",1.0100055,1.0533184,3.184377,3.3541627,2,7,5,1,7,4,2,2,3,2,6,2,3,2,2,1,48,3,1,720,17,1,1,1,1,50,6,8,2,0.000120900084,617,6409
"ESS11e02",11,"2.0","20.11.2024",50047,"FR",0.99140745,3.2674327,3.184377,10.404737,5,5,4,1,8,7,6,5,6,2,8,4,2,1,2,2,54,66,1,213,12,1,1,1,1,50,6,6,2,0.00012316807,617,6393
"ESS11e02",11,"2.0","20.11.2024",50131,"FR",1.0043057,0.6781511,3.184377,2.1594887,2,7,3,2,7,4,5,3,3,2,8,1,3,1,5,2,38,1,4,520,15,1,1,1,2,33,6,8,1,0.00012158622,620,6217
"ESS11e02",11,"2.0","20.11.2024",50152,"FR",1.0043916,1.4738511,3.184377,4.6932974,4,6,0,3,4,5,3,7,6,2,7,2,3,1,2,2,68,1,4,113,5,0,1,1,2,46,6,5,3,0.00012157584,635,6370
"ESS11e02",11,"2.0","20.11.2024",50160,"FR",1.0017681,0.664462,3.184377,2.1158974,6,8,3,2,8,4,5,7,8,2,9,1,2,2,4,1,37,1,3,620,15,1,1,1,2,39,6,8,1,0.00012189423,628,6267
"ESS11e02",11,"2.0","20.11.2024",50190,"FR",1.0102577,0.7849148,3.184377,2.4994645,6,5,6,1,10,2,6,4,3,2,10,3,3,1,4,2,51,1,3,620,17,1,1,3,1,45,6,7,2,0.0001208699,633,6205
"ESS11e02",11,"2.0","20.11.2024",50211,"FR",0.9919002,1.0865984,3.184377,3.4601388,5,4,88,3,8,4,5,88,6,8,9,1,3,2,4,2,18,66,4,323,12,1,1,2,2,888,6,88,2,0.00012310689,628,6271
"ESS11e02",11,"2.0","20.11.2024",50213,"FR",1.001563,0.7202839,3.184377,2.2936554,6,3,0,2,8,2,0,2,4,3,8,3,3,2,2,2,71,1,3,720,18,0,1,1,1,40,6,9,1,0.000121919205,627,6288
"ESS11e02",11,"2.0","20.11.2024",50214,"FR",1.0028046,1.1772866,3.184377,3.7489243,7,5,5,2,7,3,3,3,8,1,8,1,3,2,1,1,27,66,2,323,14,1,1,1,1,42,6,3,2,0.00012176822,633,6387
"ESS11e02",11,"2.0","20.11.2024",50225,"FR",1.0043916,0.8987418,3.184377,2.8619325,3,5,7,3,6,4,6,3,4,2,6,3,2,1,3,1,61,66,4,321,10,0,1,1,2,45,2,8,2,0.00012157584,635,6370
"ESS11e02",11,"2.0","20.11.2024",50236,"FR",1.0117673,0.898682,3.184377,2.8617423,0,6,6,2,6,5,6,7,8,2,6,3,3,1,3,1,20,66,3,520,14,0,1,1,2,25,6,1,2,0.00012068956,626,6189
"ESS11e02",11,"2.0","20.11.2024",50248,"FR",1.0106914,1.1810983,3.184377,3.7610624,2,7,2,2,5,0,1,5,7,2,6,4,2,1,1,2,78,66,4,113,9,0,1,1,2,15,6,2,2,0.00012081803,624,6368
"ESS11e02",11,"2.0","20.11.2024",50252,"FR",1.0074643,0.75752187,3.184377,2.4122353,4,5,4,2,5,4,5,6,6,2,7,2,3,1,4,1,66,1,3,313,12,0,1,1,1,50,6,8,2,0.000121205034,631,6242
"ESS11e02",11,"2.0","20.11.2024",50270,"FR",0.9916536,1.14943,3.184377,3.6602185,1,6,3,1,8,88,2,3,2,1,8,2,3,1,2,1,83,1,4,313,12,0,1,1,1,40,6,5,1,0.00012313749,638,6197
"ESS11e02",11,"2.0","20.11.2024",50273,"FR",0.9960624,1.1929818,3.184377,3.7989037,3,3,3,2,8,5,3,2,4,1,10,4,2,2,2,2,38,66,4,520,14,1,1,1,2,42,2,3,2,0.00012259246,638,6380
"ESS11e02",11,"2.0","20.11.2024",50308,"FR",0.9965704,1.1448075,3.184377,3.6454985,4,3,5,1,9,4,4,7,8,2,9,1,3,1,2,1,27,3,1,720,18,1,2,6,1,42,6,10,1,0.00012252998,617,6400
"ESS11e02",11,"2.0","20.11.2024",50310,"FR",0.9899178,0.8857904,3.184377,2.8206906,7,0,0,1,5,0,0,5,2,2,7,2,3,1,2,1,79,3,3,321,10,0,1,1,1,35,6,7,1,0.00012335341,634,6320
"ESS11e02",11,"2.0","20.11.2024",50367,"FR",1.0037599,1.1729982,3.184377,3.7352684,7,5,5,1,5,5,5,6,7,2,5,3,3,1,1,2,90,66,4,113,5,0,1,1,2,39,6,4,2,0.000121652345,624,6301
"ESS11e02",11,"2.0","20.11.2024",50391,"FR",1.0039114,0.7548504,3.184377,2.4037282,10,0,0,1,10,10,5,10,10,4,10,2,3,2,1,1,69,66,3,321,12,0,1,1,2,8,6,3,2,0.000121633995,631,6236
"ESS11e02",11,"2.0","20.11.2024",50404,"FR",0.99882203,1.6356302,3.184377,5.208463,5,5,5,1,8,0,0,5,3,2,8,2,3,1,2,1,67,1,4,213,9,0,1,1,2,35,6,4,2,0.00012225375,617,6356
"ESS11e02",11,"2.0","20.11.2024",50408,"FR",0.964947,1.0129231,3.184377,3.225529,8,2,2,2,2,3,2,2,2,3,8,1,3,2,1,2,53,66,2,321,15,1,1,1,2,37,6,3,3,0.00012654555,604,6136
"ESS11e02",11,"2.0","20.11.2024",50433,"FR",0.9904276,0.92240524,3.184377,2.937286,10,9,5,1,10,1,8,5,6,3,9,2,3,1,1,2,82,66,3,321,13,0,1,3,2,20,6,88,1,0.00012328992,635,6193
"ESS11e02",11,"2.0","20.11.2024",50443,"FR",1.0053375,0.74563843,3.184377,2.3743937,8,7,6,2,9,7,6,4,5,2,9,3,2,2,2,2,70,1,3,313,12,0,1,1,2,48,2,5,2,0.00012146145,623,6306
